case_file,case_id,project,binary,function,vuln_type,status,cve,assignerOrgId,assignerShortName,reporter,record_url,note
f1202-httpd-cmdinject-formWriteFacMac.json,f1202-httpd-cmdinject-formWriteFacMac,F1202,vul_file/httpd,formWriteFacMac; doSystemCmd,embedded httpd cgi command injection,backfilled,CVE-2024-30637,8254265b-2729-46b6-b9e3-3dfca2d5bfca,mitre,,https://www.cve.org/CVERecord?id=CVE-2024-30637,Exact function match: formWriteFacMac command injection.
f1202-httpd-overflow-fromAdvSetWan.json,f1202-httpd-overflow-fromAdvSetWan,F1202,vul_file/httpd,fromAdvSetWan; decodePwd,embedded httpd stack-based buffer overflow via credential decoding,backfilled,CVE-2025-7527,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,panda_0x1 (VulDB User),https://www.cve.org/CVERecord?id=CVE-2025-7527,Public record commonly labels model as FH1202; local dataset uses F1202.
f453-httpd-cmdinject-formWriteFacMac.json,f453-httpd-cmdinject-formWriteFacMac,F453,vul_file/httpd,formWriteFacMac; doSystemCmd,embedded httpd cgi command injection,backfilled,CVE-2026-4554,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHust (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-4554,Exact function match: formWriteFacMac command injection.
f453-httpd-overflow-formWrlsafeset.json,f453-httpd-overflow-formWrlsafeset,F453,vul_file/httpd,formWrlsafeset; sprintf,embedded httpd stack-based buffer overflow,backfilled,CVE-2026-3273,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHust (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-3273,Exact function match: formWrlsafeset.
f453-httpd-overflow-fromqossetting.json,f453-httpd-overflow-fromqossetting,F453,vul_file/httpd,fromqossetting; strcpy,embedded httpd stack-based buffer overflow,backfilled,CVE-2026-3378,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHust2 (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-3378,Exact function match: fromqossetting.
f453-httpd-overflow-fromRouteStatic.json,f453-httpd-overflow-fromRouteStatic,F453,vul_file/httpd,fromRouteStatic; sprintf,embedded httpd stack-based buffer overflow,backfilled,CVE-2026-3166,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHust (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-3166,Exact function match: fromRouteStatic.
f456-httpd-cmdinject-formWriteFacMac.json,f456-httpd-cmdinject-formWriteFacMac,F456,vul_file/httpd,formWriteFacMac; doSystemCmd,embedded httpd cgi command injection,backfilled,CVE-2026-7102,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHuster (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-7102,Exact function match: formWriteFacMac command injection.
f9k1122-webs-overflow-formCrossBandSwitch.json,f9k1122-webs-overflow-formCrossBandSwitch,F9K1122,vul_file/webs,formCrossBandSwitch; strcpy,embedded webs stack-based buffer overflow,backfilled,CVE-2026-5042,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHuster2 (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-5042,Exact function match: formCrossBandSwitch.
f9k1122-webs-overflow-formSetPassword.json,f9k1122-webs-overflow-formSetPassword,F9K1122,vul_file/webs,formSetSystemSettings; strcpy,embedded webs stack-based buffer overflow,left-empty-invalid-duplicate,,,,,,Local file already marks this case as a duplicate/invalid dataset copy; leave ground_truth.cves empty.
f9k1122-webs-overflow-formSetSystemSettings.json,f9k1122-webs-overflow-formSetSystemSettings,F9K1122,vul_file/webs,formSetSystemSettings; strcpy,embedded webs stack-based buffer overflow,backfilled,CVE-2026-5044,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHuster2 (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-5044,Exact function match: formSetSystemSettings.
f9k1122-webs-overflow-formWISP5G.json,f9k1122-webs-overflow-formWISP5G,F9K1122,vul_file/webs,formWISP5G; strcpy,embedded webs stack-based buffer overflow,backfilled,CVE-2026-4566,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHust (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-4566,Exact function match: formWISP5G.
f9k1122-webs-overflow-formWlanSetup.json,f9k1122-webs-overflow-formWlanSetup,F9K1122,vul_file/webs,formWlanSetup; strcpy,embedded webs stack-based buffer overflow,backfilled,CVE-2026-5608,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHust2 (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-5608,Exact function match: formWlanSetup.
fh451-httpd-overflow-formQuickIndex.json,fh451-httpd-overflow-formQuickIndex,FH451,vul_file/httpd,formQuickIndex; sprintf,embedded httpd stack-based buffer overflow,backfilled,CVE-2026-3679,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHuster (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-3679,Exact function match: formQuickIndex.
fh451-httpd-overflow-formWrlExtraSet.json,fh451-httpd-overflow-formWrlExtraSet,FH451,vul_file/httpd,formWrlExtraSet; sprintf,embedded httpd stack-based buffer overflow,backfilled,CVE-2026-4534,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHuster (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-4534,Exact function match: formWrlExtraSet.
fh451-httpd-overflow-fromAdvSetWan.json,fh451-httpd-overflow-fromAdvSetWan,FH451,vul_file/httpd,fromAdvSetWan; sprintf,embedded httpd stack-based buffer overflow,backfilled,CVE-2026-3678,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHuster (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-3678,"Public helper name differs slightly from local notes, but endpoint/param/function match."
fh451-httpd-overflow-fromSetCfm.json,fh451-httpd-overflow-fromSetCfm,FH451,vul_file/httpd,fromSetCfm; sprintf,embedded httpd stack-based buffer overflow,backfilled,CVE-2026-3677,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHuster (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-3677,Local file uses fromSetCfm; public naming may appear as formSetCfm.
fh451-httpd-overflow-WrlclientSet.json,fh451-httpd-overflow-WrlclientSet,FH451,vul_file/httpd,WrlclientSet; sprintf,embedded httpd stack-based buffer overflow,backfilled,CVE-2026-4535,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHuster (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-4535,Exact function match: WrlclientSet.
i12-httpd-overflow-formexeCommand.json,i12-httpd-overflow-formexeCommand,i12,vul_file/httpd,formexeCommand; vos_strcpy,embedded httpd stack-based buffer overflow,backfilled,CVE-2026-4041,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,Jimi (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-4041,"Exact endpoint/function match: /goform/exeCommand, cmdinput, vos_strcpy."
i12-httpd-path-traversal-r7webs.json,i12-httpd-path-traversal-r7webs,i12,vul_file/httpd,R7WebsSecurityHandler,authentication bypass via path traversal,backfilled,CVE-2026-5849,1af790b2-7ee1-4545-860a-a788eba489b5,VulDB,LtzHust2 (VulDB User),https://www.cve.org/CVERecord?id=CVE-2026-5849,Exact handler match: R7WebsSecurityHandler path traversal.
