case_id,run_id,selected_skills,feedback_decision,handoff_status,session_id,session_segment_id,receipt_status,candidate_count,uploaded_count,candidates_queued,published_after_validation,validation_followup_status,validation_job_count,validation_decisions,final_record
exiv2-0.26-cve-2017-17725,exiv2-paper-20260802a,"source-parser-state-machine-oob, elf-cwe120-plt-analysis",neutral,handed_off,a77ab2b1-2e91-5d93-9a40-40c7ae6ac99f,d16e2c03-53e4-4ac5-a1c0-95559258d781,consumed,2,0,2,0,completed,2,20260802144632-elf-cwe120-plt-analysis-b2dedf3f:rejected; 20260802144739-source-parser-state-machine-oob-8ce3a6c8:rejected,runtime/imports/remote_vm/exiv2-paper-20260802a/exiv2-paper-20260802a-final-enriched.json
firmware2-login-cgi-cve-2026-2527,firmware2-login-cgi-cve-2026-2527-blind-skillclaw-inline-guarded-20260805-174210,embedded-cgi-command-injection-triage,negative,handed_off,3b89c3de-515d-59d6-b826-4dd7303eed43,5b4d2460-bb72-43a1-848a-146fbc104aa6,consumed,1,0,1,0,completed,1,20260805094719-embedded-cgi-command-injection-triage-0c6df379:rejected,runtime/imports/remote_vm/firmware_ablation_20260805/firmware2-login-cgi-cve-2026-2527-blind-skillclaw-inline-guarded-20260805-174210/firmware2-login-cgi-cve-2026-2527-blind-skillclaw-inline-guarded-20260805-174210-final-enriched.json
firmware2-login-cgi-cve-2026-2527,firmware2-login-seed-20260806a,embedded-cgi-command-injection-triage,neutral,handed_off,7dd504c3-3789-5c4b-a6d4-e74188fa881c,b1d1e89e-dd2e-4c1f-8c1a-b839e708bcf3,consumed,1,0,1,0,completed,1,20260806073000-embedded-cgi-command-injection-triage-eb4ea6ad:rejected,runtime/imports/remote_vm/firmware2-login-seed-20260806a/firmware2-login-seed-20260806a-final-enriched.json
firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-none-20260806a,,neutral,handed_off,a1547d05-3b54-540c-a331-83fb59c4d2bf,caa725f4-bf69-4072-90fd-2946ef539de7,consumed,0,0,0,0,not_needed,0,,runtime/imports/remote_vm/firmware2-wireless-none-20260806a/firmware2-wireless-none-20260806a-final-enriched.json
firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-relevant-20260806a,embedded-cgi-command-injection-triage,negative,handed_off,9037bab7-f5b6-5e40-aef9-008ece272843,7fa84da0-6468-4034-b6de-4f3985f1d61d,consumed,1,0,1,0,completed,1,20260806065640-embedded-cgi-command-injection-triage-11d23c0f:rejected,runtime/imports/remote_vm/firmware2-wireless-relevant-20260806a/firmware2-wireless-relevant-20260806a-final-enriched.json
firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-seed-20260805a,embedded-cgi-command-injection-triage,negative,handed_off,a7524f1c-1120-503a-b98f-5dc74c12a426,3c43b2e8-f024-4b25-8a2f-fd915a772d3f,consumed,0,0,0,0,not_needed,0,,runtime/imports/remote_vm/firmware2-wireless-seed-20260805a/firmware2-wireless-seed-20260805a-final-enriched.json
firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-seed-20260805b,embedded-cgi-command-injection-triage,neutral,handed_off,0778a160-0677-5ed5-8e1f-bad4a2a76673,99752d06-8506-4bff-84da-741a2fd483b5,consumed,1,0,1,0,completed,1,20260805074313-embedded-cgi-command-injection-triage-22e7b523:rejected,runtime/imports/remote_vm/firmware2-wireless-seed-20260805b/firmware2-wireless-seed-20260805b-final-enriched.json
firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-wrong-20260806a,firmware-embedded-lua-shell-extraction,negative,handed_off,2b651b37-df82-5dc1-92fa-10303acc1699,742ae8f4-ea8d-4f16-9ffe-21603eaa25be,consumed,1,0,1,0,completed,1,20260806071615-firmware-embedded-lua-shell-extraction-35d17edf:rejected,runtime/imports/remote_vm/firmware2-wireless-wrong-20260806a/firmware2-wireless-wrong-20260806a-final-enriched.json
giflib-5.1.2-cve-2016-3977,giflib-blind-e2e-20260801e,"source-parser-state-machine-oob, elf-cwe120-plt-analysis",neutral,handed_off,bfa0f780-9e2f-5efa-9e45-c8dbd4bc81b5,52d1d7e5-8565-4938-8b74-c4bf89fae39b,consumed,2,0,2,0,completed,2,20260801073659-elf-cwe120-plt-analysis-e01478d6:rejected; 20260801073756-source-parser-state-machine-oob-5baed3fb:rejected,runtime/imports/remote_vm/giflib-blind-e2e-20260801e/giflib-blind-e2e-20260801e-final-enriched.json
giflib-5.1.2-cve-2016-3977,giflib-e2e-20260804a,"source-parser-state-machine-oob, elf-cwe120-plt-analysis",neutral,handed_off,db801760-20fa-5a3d-975b-53d53dd702e2,95aab86b-c47d-49ac-807d-8597e8601ce1,pending,0,0,0,0,not_needed,0,,runtime/imports/remote_vm/giflib-e2e-20260804a/giflib-e2e-20260804a-final-enriched.json
