run_id,condition,skills,score,funcs,cves,correct,conf,fb,flags,mode,note
260815,no-skill,(none),8.0,formexeCommand,CVE-2018-5767,NO,passed,positive,,inline-override,
260815,force-skill,tenda-httpd-goform-execommand-triage,8.0,formexeCommand,CVE-2018-5767,NO,passed,positive,,inline-override,
260815,force-skill,embedded-cgi-command-injection-triage,6.0,"TendaAte,doSystemCmd",CVE-2018-5767,partial(dsc),passed,neutral,,inline-override,
260815,force-skill,embedded-cgi-command-injection-triage,0.0,,,NO,partial,neutral,,inline-override,
260815,no-skill,(none),8.0,formexeCommand,CVE-2018-5767,NO,passed,positive,,inline,
260815,no-skill,(none),8.0,"formWriteFacMac,doSystemCmd",CVE-2021-31755,FULL,passed,positive,,inline,
260815,natural,"embedded-cgi-command-injection-triage,firmware-embedded-lua-shell-extraction,embedded-router-cgi-cmd-injection-exploitation",8.0,"formexeCommand,doSystemCmd",CVE-2018-5767,partial(dsc),passed,positive,extraneous_skill_selection,inline,
260815,natural,"embedded-cgi-command-injection-triage,firmware-embedded-lua-shell-extraction,tenda-httpd-goform-execommand-triage",8.0,"formWriteFacMac,doSystemCmd",,FULL,passed,positive,extraneous_skill_selection,inline,
260816,natural,"embedded-cgi-command-injection-triage,firmware-embedded-lua-shell-extraction,tenda-httpd-goform-execommand-triage",8.0,"formexeCommand,doSystemCmd",CVE-2021-31755,partial(dsc),passed,positive,extraneous_skill_selection,inline,
260816,natural,"embedded-cgi-command-injection-triage,firmware-embedded-lua-shell-extraction,tenda-httpd-goform-execommand-triage",6.5,formexeCommand,CVE-2018-5767,NO,passed,neutral,"function_identity_miss,extraneous_skill_selection",inline,
260816,natural,"tenda-httpd-goform-execommand-triage,cisco-vmanage-firmware-analysis,peplink-fiwm-firmware-analysis",1.0,"sub_429B1C,doSystem,websGetVar,main",CVE-2022-44249,NO,passed,negative,extraneous_skill_selection,inline,
260816,natural,"tenda-httpd-goform-execommand-triage,peplink-fiwm-firmware-analysis,cisco-vmanage-firmware-analysis",8.0,"formexeCommand,doSystemCmd",CVE-2018-5767,partial(dsc),passed,positive,extraneous_skill_selection,inline,
260816,natural,"tenda-httpd-goform-execommand-triage,cisco-vmanage-firmware-analysis,peplink-fiwm-firmware-analysis",6.0,"formexeCommand,doSystemCmd",CVE-2020-10987,partial(dsc),passed,neutral,extraneous_skill_selection,inline,
260816,failed,,,,,?,,,,,empty/failed
260816,natural,"tenda-httpd-goform-execommand-triage,cisco-vmanage-firmware-analysis,peplink-fiwm-firmware-analysis",6.5,formexeCommand,CVE-2018-5767,NO,passed,neutral,"function_identity_miss,extraneous_skill_selection",inline,
260816,no-skill,(none),8.0,"formexeCommand,doSystemCmd,system",CVE-2018-5767,partial(dsc),passed,positive,,inline-override,
