case_key,condition,round,target_function,score,predicted_functions,correct,elapsed_seconds,status
f1202-cmdinject,no-skill,1,formWriteFacMac,8.0,doSystemCmd;exeCommand;myCmd,NO,52.4,completed
f1202-cmdinject,no-skill,2,formWriteFacMac,8.0,formexeCommand;doSystemCmd;exeCommand;system,NO,36.5,completed
f1202-cmdinject,oracle-skill,1,formWriteFacMac,8.0,formexeCommand;doSystemCmd,NO,44.2,completed
f1202-cmdinject,oracle-skill,2,formWriteFacMac,8.0,formexeCommand;exeCommand;doSystemCmd,NO,21.0,completed
f1202-cmdinject,weak-skill,1,formWriteFacMac,2.0,formexeCommand;vos_strcpy,NO,48.2,completed
f1202-cmdinject,weak-skill,2,formWriteFacMac,8.0,formWriteFacMac;doSystemCmd;websGetVar,YES,59.1,completed
f1202-credential-overflow,no-skill,1,fromAdvSetWan,2.0,formexeCommand;doSystemCmd;exeCommand,NO,39.9,completed
f1202-credential-overflow,no-skill,2,fromAdvSetWan,2.0,formexeCommand;doSystemCmd;system,NO,43.1,completed
f1202-credential-overflow,oracle-skill,1,fromAdvSetWan,8.0,fromSysToolChangePwd;decodePwd,NO,96.3,completed
f1202-credential-overflow,oracle-skill,2,fromAdvSetWan,4.0,formWrlsafeset;sprintf;sub_28CB8,NO,23.5,completed
f1202-credential-overflow,weak-skill,1,fromAdvSetWan,2.0,formexeCommand;doSystemCmd,NO,56.4,completed
f1202-credential-overflow,weak-skill,2,fromAdvSetWan,2.0,,NO,39.6,completed
f453-cmdinject,no-skill,1,formWriteFacMac,8.0,formexeCommand;doSystemCmd;exeCommand,DECOY,44.7,completed
f453-cmdinject,no-skill,2,formWriteFacMac,8.0,formSetCfm;exeCommand;doSystemCmd,NO,58.2,completed
f453-cmdinject,oracle-skill,1,formWriteFacMac,8.0,formWriteFacMac;doSystemCmd,YES,39.5,completed
f453-cmdinject,oracle-skill,2,formWriteFacMac,8.0,formWriteFacMac;doSystemCmd,YES,17.0,completed
