profile,case_id,run_id,score,max_score,score_text,cve_hit,file_hit,function_hit,evidence_hit,root_cause_hit,selected_skills,feedback_decision,confirmation_status,handoff_status,receipt_status,candidates_queued,published_after_validation,validation_followup_status,final_record
none,firmware2-login-cgi-cve-2026-2527,firmware2-cmdi-none-20260805a,5.0,10.0,5.0/10.0,False,True,False,True,True,,neutral,passed,,,,,,runtime/imports/remote_vm/firmware2-cmdi-none-20260805a/firmware2-cmdi-none-20260805a-final-enriched.json
none,firmware2-login-cgi-cve-2026-2527,firmware2-cmdi-none-20260805b,3.0,10.0,3.0/10.0,False,False,False,True,True,,neutral,passed,,,,,,runtime/imports/remote_vm/firmware2-cmdi-none-20260805b/firmware2-cmdi-none-20260805b-final-enriched.json
none,firmware2-login-cgi-cve-2026-2527,firmware2-cmdi-none-20260805c,5.0,10.0,5.0/10.0,False,True,False,True,True,,neutral,passed,,,,,,runtime/imports/remote_vm/firmware2-cmdi-none-20260805c/firmware2-cmdi-none-20260805c-final-enriched.json
relevant,firmware2-login-cgi-cve-2026-2527,firmware2-cmdi-relevant-20260805a,5.0,10.0,5.0/10.0,False,True,False,True,True,embedded-cgi-command-injection-triage,neutral,passed,,,,,,runtime/imports/remote_vm/firmware2-cmdi-relevant-20260805a/firmware2-cmdi-relevant-20260805a-final-enriched.json
relevant,firmware2-login-cgi-cve-2026-2527,firmware2-cmdi-relevant-20260805b,5.0,10.0,5.0/10.0,False,True,False,True,True,embedded-cgi-command-injection-triage,neutral,passed,,,,,,runtime/imports/remote_vm/firmware2-cmdi-relevant-20260805b/firmware2-cmdi-relevant-20260805b-final-enriched.json
wrong,firmware2-login-cgi-cve-2026-2527,firmware2-cmdi-wrong-20260805a,4.0,10.0,4.0/10.0,False,True,False,False,True,firmware-embedded-lua-shell-extraction,neutral,passed,,,,,,runtime/imports/remote_vm/firmware2-cmdi-wrong-20260805a/firmware2-cmdi-wrong-20260805a-final-enriched.json
wrong,firmware2-login-cgi-cve-2026-2527,firmware2-cmdi-wrong-20260805b,5.0,10.0,5.0/10.0,False,True,False,True,True,firmware-embedded-lua-shell-extraction,neutral,passed,,,,,,runtime/imports/remote_vm/firmware2-cmdi-wrong-20260805b/firmware2-cmdi-wrong-20260805b-final-enriched.json
seed,firmware2-login-cgi-cve-2026-2527,firmware2-login-seed-20260806a,5.0,10.0,5.0/10.0,False,True,False,True,True,embedded-cgi-command-injection-triage,neutral,passed,handed_off,consumed,1,0,completed,runtime/imports/remote_vm/firmware2-login-seed-20260806a/firmware2-login-seed-20260806a-final-enriched.json
none,firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-none-20260805a,3.0,10.0,3.0/10.0,False,False,False,True,True,,neutral,passed,,,,,,runtime/imports/remote_vm/firmware2-wireless-none-20260805a/firmware2-wireless-none-20260805a-final-enriched.json
none,firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-none-20260805b,3.0,10.0,3.0/10.0,False,False,False,True,True,,neutral,passed,,,,,,runtime/imports/remote_vm/firmware2-wireless-none-20260805b/firmware2-wireless-none-20260805b-final-enriched.json
none,firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-none-20260806a,2.0,10.0,2.0/10.0,False,False,False,False,True,,neutral,passed,handed_off,consumed,0,0,not_needed,runtime/imports/remote_vm/firmware2-wireless-none-20260806a/firmware2-wireless-none-20260806a-final-enriched.json
relevant,firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-relevant-20260805a,3.0,10.0,3.0/10.0,False,False,False,True,True,embedded-cgi-command-injection-triage,negative,passed,,,,,,runtime/imports/remote_vm/firmware2-wireless-relevant-20260805a/firmware2-wireless-relevant-20260805a-final-enriched.json
relevant,firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-relevant-20260806a,3.0,10.0,3.0/10.0,False,False,False,True,True,embedded-cgi-command-injection-triage,negative,passed,handed_off,consumed,1,0,completed,runtime/imports/remote_vm/firmware2-wireless-relevant-20260806a/firmware2-wireless-relevant-20260806a-final-enriched.json
wrong,firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-wrong-20260806a,3.0,10.0,3.0/10.0,False,False,False,True,True,firmware-embedded-lua-shell-extraction,negative,passed,handed_off,consumed,1,0,completed,runtime/imports/remote_vm/firmware2-wireless-wrong-20260806a/firmware2-wireless-wrong-20260806a-final-enriched.json
seed,firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-seed-20260805a,3.0,10.0,3.0/10.0,False,False,False,True,True,embedded-cgi-command-injection-triage,negative,passed,handed_off,consumed,0,0,not_needed,runtime/imports/remote_vm/firmware2-wireless-seed-20260805a/firmware2-wireless-seed-20260805a-final-enriched.json
seed,firmware2-wireless-cgi-cve-2026-2529,firmware2-wireless-seed-20260805b,5.0,10.0,5.0/10.0,False,True,False,True,True,embedded-cgi-command-injection-triage,neutral,passed,handed_off,consumed,1,0,completed,runtime/imports/remote_vm/firmware2-wireless-seed-20260805b/firmware2-wireless-seed-20260805b-final-enriched.json
