case_key,condition,round,target_function,predicted_functions,score,correct
f453-cmdinject,no-skill,1,formWriteFacMac,formexeCommand;doSystemCmd,8.0,DECOY
f453-cmdinject,no-skill,2,formWriteFacMac,formexeCommand;doSystemCmd,8.0,DECOY
f453-cmdinject,no-skill,3,formWriteFacMac,formWriteFacMac,8.0,YES
f453-cmdinject,weak-skill,1,formWriteFacMac,formexeCommand;doSystemCmd;exeCommand,8.0,DECOY
f453-cmdinject,weak-skill,2,formWriteFacMac,formexeCommand;doSystemCmd,8.0,DECOY
f453-cmdinject,weak-skill,3,formWriteFacMac,formWrlsafeset,6.5,NO
f453-cmdinject,oracle-skill,1,formWriteFacMac,formexeCommand;exeCommand;doSystemCmd;formWrlsafeGet,8.0,DECOY
f453-cmdinject,oracle-skill,2,formWriteFacMac,formWriteFacMac;doSystemCmd,8.0,YES
f453-cmdinject,oracle-skill,3,formWriteFacMac,formexeCommand;doSystemCmd,8.0,DECOY
f456-cmdinject,no-skill,1,formWriteFacMac,formWriteFacMac;doSystemCmd,8.0,YES
f456-cmdinject,no-skill,2,formWriteFacMac,formexeCommand;doSystemCmd;system,6.0,DECOY
f456-cmdinject,no-skill,3,formWriteFacMac,exeCommand;formexeCommand;doSystemCmd,8.0,DECOY
f456-cmdinject,weak-skill,1,formWriteFacMac,formWriteFacMac;doSystemCmd,8.0,YES
f456-cmdinject,weak-skill,2,formWriteFacMac,formWrlsafeset;doSystemCmd,8.0,NO
f456-cmdinject,weak-skill,3,formWriteFacMac,formexeCommand;doSystemCmd,8.0,DECOY
f456-cmdinject,oracle-skill,1,formWriteFacMac,formWriteFacMac,8.0,YES
f456-cmdinject,oracle-skill,2,formWriteFacMac,formWriteFacMac;doSystemCmd,8.0,YES
f456-cmdinject,oracle-skill,3,formWriteFacMac,formWriteFacMac;WriteFacMac;doSystemCmd,8.0,YES
f453-overflow,no-skill,1,formWrlsafeset,formexeCommand;doSystemCmd;webs_Tenda_CGI_BIN_Handler,4.5,DECOY
f453-overflow,no-skill,2,formWrlsafeset,formexeCommand;doSystemCmd,2.0,DECOY
f453-overflow,no-skill,3,formWrlsafeset,formexeCommand;doSystemCmd;webs_Tenda_CGI_BIN_Handler,2.0,DECOY
f453-overflow,weak-skill,1,formWrlsafeset,formexeCommand;doSystemCmd,2.0,DECOY
f453-overflow,weak-skill,2,formWrlsafeset,exeCommand;doSystemCmd;formexeCommand,2.0,DECOY
f453-overflow,weak-skill,3,formWrlsafeset,formexeCommand;doSystemCmd;system;cmdinput,2.0,DECOY
f453-overflow,oracle-skill,1,formWrlsafeset,formWrlsafeset,6.0,YES
